dirid,fullname,ethnicity
550.0,RICHARD L KEYSER,Caucasian
551.0,DAVID W GRAINGER,Unknown
552.0,JERE D FLUNO,Caucasian
553.0,LOUIS J GALEN,Caucasian
554.0,BERNARD A OSHER,Caucasian
555.0,MARION O SANDLER,Caucasian
556.0,HERBERT M SANDLER,Caucasian
557.0,ALFRED M ZEIEN,Caucasian
558.0,JOHN F SMITH JR,Caucasian
559.0,SANDRA O MOOSE,Caucasian
560.0,JAMES L JOHNSON,Unknown
561.0,KENT B FOSTER,Caucasian
563.0,CHARLES R LEE,Caucasian
564.0,DAVID W. BIEGLER,Caucasian
568.0,ORIN R. SMITH,Caucasian
571.0,ALBERT E SUTER,Unknown
573.0,ALLAN L. SCHUMAN,Caucasian
574.0,MICHAEL E SHANNON,Caucasian
575.0,GEORGE MC FISHER,Caucasian
576.0,LEE R RAYMOND,Caucasian
577.0,DANA G. MEAD,Caucasian
578.0,ARTHUR TEMPLE III,Caucasian
579.0,CLIFFORD J. GRUM,Caucasian
580.0,NORMAN E ALEXANDER,Caucasian
582.0,JOHN QUICKE,Caucasian
583.0,FRED R SULLIVAN,Caucasian
584.0,JOHN B YASINSKY,Caucasian
587.0,J CARTER BACOT,Caucasian
588.0,ALAN R GRIFFITH,Unknown
589.0,THOMAS A RENYI,Caucasian
590.0,CHARLES R SCHWAB,Caucasian
591.0,FRANK C. HERRINGER,Caucasian
592.0,JOHN F BERGSTROM,Caucasian
593.0,CLAUDIO X GONZALEZ,Hispanic
594.0,WAYNE R. SANDERS,Caucasian
595.0,BYRON O POND,Caucasian
596.0,V HUNT,Caucasian
597.0,DONALD F. MCHENRY,African-American
598.0,HERBERT ALLEN,Caucasian
599.0,HELGA HAUB,Unknown
600.0,FRED CORRADO,Unknown
601.0,CHRISTIAN WE HAUB,Caucasian
603.0,DONALD V FITES,Unknown
605.0,ROBERT L CRANDALL,Caucasian
606.0,PERCY N BARNEVIK,Unknown
607.0,H RODNEY SHARP III,Caucasian
608.0,JOHN A KROL,Caucasian
613.0,JACK P. REID,Caucasian
615.0,G ROBERT TOD,Caucasian
621.0,DAVID B SMITH JR.,Caucasian
622.0,SAN W ORR JR,Caucasian
623.0,ROBERT A STEFANKO,Caucasian
625.0,TERRY L. HAINES,Caucasian
627.0,JOHN H SHUEY,Caucasian
629.0,EDWIN H WINGATE,Unknown
630.0,KENDRICK B. MELROSE,Caucasian
633.0,HOWARD S MODLIN,Caucasian
635.0,SAL GIORDANO JR,Caucasian
636.0,LOUIS V GERSTNER JR,Caucasian
637.0,RAY IRANI,Asian
639.0,BRUCE KARATZ,Caucasian
640.0,L DANIEL JORNDT,Caucasian
641.0,CHARLES R. WALGREEN III,Caucasian
642.0,BERNARD M GORDON,Caucasian
643.0,JOHN A TARELLO,Unknown
644.0,M. ROSS BROWN,Unknown
646.0,GEORGE R. MAHONEY JR.,Caucasian
647.0,MARK R BERNSTEIN,Caucasian
648.0,LAWRENCE J MURPHY,Unknown
649.0,GARY W WOLF,Caucasian
650.0,ROGER A YOUNG,Caucasian
651.0,LELAND E. TOLLETT,Caucasian
653.0,DON TYSON,Caucasian
654.0,BARBARA A. TYSON,Caucasian
655.0,JOHN TYSON,Caucasian
659.0,ROBERT G STONE JR,Caucasian
660.0,ROBERT J KAMERSCHEN,Caucasian
661.0,HOWARD H NEWMAN,Caucasian
662.0,JOHN L VOGELSTEIN,Caucasian
663.0,JOHN D. BAKER II,Caucasian
664.0,EDWARD L BAKER,Caucasian
665.0,THOMPSON S BAKER II,Unknown
667.0,FRANCIS X KNOTT,Caucasian
668.0,ALVIN R CARPENTER,Caucasian
670.0,LUKE E FICHTHORN III,Unknown
671.0,ROBERT E WERTHEIMER,Unknown
672.0,LISA J MCLAUGHLIN,Unknown
673.0,RICHARD P WOLLENBERG,Unknown
674.0,ROBERT B ARKELL,Unknown
675.0,DAVID L BOWDEN,Unknown
676.0,DAVID A WOLLENBERG,Unknown
678.0,GEORGE W HENDERSON III,Caucasian
680.0,WILLIAM M BELL,Caucasian
681.0,DAVID L SWIFT,Caucasian
682.0,KENNETH P. MANNING,Caucasian
685.0,R STUART DICKSON,Caucasian
686.0,SAMUEL W. BODMAN III,Caucasian
687.0,KENNETT F BURNES,Caucasian
688.0,J DAVIS JR.,African-American
689.0,W MICHAEL WARREN JR,Caucasian
691.0,GUY C PINKERTON,Unknown
692.0,W ALDEN HARRIS,Caucasian
693.0,STEPHEN P MOSLING,Unknown
694.0,J. PETER MOSLING JR.,Caucasian
695.0,MICHAEL W. GREBE,Caucasian
697.0,MICHAEL J CARROLL,Unknown
698.0,MERWIN J RAY,Caucasian
699.0,BRADFORD T RAY,Unknown
700.0,WILLIAM E HELLMANN,Caucasian
701.0,STANLEY A RABIN,Caucasian
706.0,JOHN J VOSICKY,Unknown
708.0,ROBERT GUNST,Caucasian
710.0,MICHAEL M. MCSHANE,Caucasian
711.0,J W STEWART,Caucasian
712.0,ROBERT C JAUDES,Unknown
714.0,GARY W. ROLLINS,Caucasian
715.0,RICHARD A. GALANTI,Caucasian
716.0,HAMILTON E. JAMES,Caucasian
717.0,CHARLES B JOHNSON,Caucasian
718.0,RUPERT H. JOHNSON JR.,Caucasian
719.0,HARMON E BURNS,Caucasian
720.0,CHARLES ENDLER JOHNSON,Caucasian
721.0,PETER M. SACERDOTE,Caucasian
725.0,MARTIN L SOLOMON,Caucasian
736.0,ROBERT H SPILMAN,Unknown
737.0,DALE L. MEDFORD,Caucasian
739.0,RICHARD H GRANT III,Caucasian
741.0,J. JOE ADORJAN,Caucasian
742.0,C SCOTT KULICKE,Caucasian
743.0,WILLIAM P VITITOE,Caucasian
746.0,JERRY W. AMOS,Caucasian
747.0,WILLIAM J. CADOGAN,Caucasian
749.0,JOHN R. HORNE,Caucasian
750.0,ROBERT C LANNERT,Caucasian
751.0,CHARLES J WYLY JR,Unknown
752.0,SAM WYLY,Unknown
754.0,WILLIAM P MADAR,Caucasian
755.0,WILLIAM D GINN,Caucasian
757.0,VILMA S. MARTINEZ,Hispanic
758.0,JAMES C MORGAN,Caucasian
759.0,DAN MAYDAN,Caucasian
760.0,ALFRED J STEIN,Caucasian
761.0,PAUL J POWERS,Caucasian
762.0,BRIAN J KNEZ,Caucasian
764.0,ANTHONY G PETRELLO,Caucasian
765.0,EUGENE M. ISENBERG,Caucasian
766.0,JERALD G FISHMAN,Caucasian
767.0,RAY STATA,Caucasian
768.0,JOHN L DOYLE,Unknown
770.0,EDWARD H MEYER,Caucasian
771.0,MICHAEL P SULLIVAN,Unknown
772.0,JOSEPH F. ALIBRANDI,Caucasian
774.0,RICHARD M ROMPALA,Caucasian
775.0,JOSEPH J JACOBS,Unknown
776.0,NOEL G WATSON,Caucasian
777.0,LINDA K JACOBS,Caucasian
778.0,ROBERT G DAVEY,Unknown
779.0,JORGE E ESTRADA,Caucasian
780.0,ROBERT J LAWLESS,Caucasian
782.0,KAREN D WEATHERHOLTZ,Caucasian
783.0,JAMES H. DEGRAFFENREIDT JR.,African-American
784.0,KAREN H WILLIAMS,Unknown
786.0,GEORGE A SCHAEFER JR,Caucasian
787.0,RONALD G REHERMAN,Unknown
788.0,LAWRENCE E GLOYD,Caucasian
789.0,PAUL J GANCI,Unknown
791.0,EDWARD R. MULLER,Caucasian
792.0,ROBERT I TOLL,Caucasian
793.0,BRUCE E. TOLL,Caucasian
794.0,ZVI BARZILAY,Caucasian
795.0,RICHARD J BRAEMER,Caucasian
796.0,ROBERT S. BLANK,Caucasian
798.0,ROBERT B CATELL,Caucasian
799.0,EDWARD D MILLER,Caucasian
800.0,KENNETH I. CHENAULT,African-American
801.0,STEVEN R APPLETON,Caucasian
802.0,PHILIP C. ACKERMAN,Caucasian
805.0,JOEL W JOHNSON,Caucasian
806.0,GARY J RAY,Caucasian
807.0,LOUIS T ROSSO,Unknown
808.0,JOHN P WAREHAM,Caucasian
809.0,BETTY WOODS,Caucasian
810.0,GERALD LIPKIN,Caucasian
812.0,NICHOLAS J. ST. GEORGE,Caucasian
816.0,LON R GREENBERG,Caucasian
817.0,KENNETH JENSEN,Caucasian
818.0,LESLIE MUMA,Caucasian
821.0,JAMES S. RIEPE,Caucasian
822.0,GEORGE A. ROCHE,Caucasian
824.0,JAMES S MARLEN,Caucasian
826.0,JOHN W GALIARDO,Unknown
828.0,ROBERT J O'TOOLE,Caucasian
829.0,ALLEN M HILL,Caucasian
830.0,ROBERT B MORGAN,Caucasian
831.0,RICHARD K DAVIDSON,Caucasian
833.0,JUDITH RICHARDS HOPE,Caucasian
834.0,THOMAS R SCHIFF,Caucasian
835.0,LARRY R. WEBB,Caucasian
837.0,RICHARD KORPAN,Caucasian
838.0,CHARLES M. GESCHKE,Caucasian
839.0,JOHN E WARNOCK,Caucasian
840.0,WILLIAM P WEBER,Caucasian
841.0,ROBERT D STOREY,
842.0,IRVING BOLOTIN,Unknown
844.0,STUART A MILLER,Caucasian
845.0,STEVEN J SAIONTZ,Unknown
847.0,"JOHN J. SCHIFF, JR.",Caucasian
848.0,ROBERT C SCHIFF,Unknown
